zip_code,lat,long,population
28672,36.4833793640137,-81.3266754150391,35
28673,35.6177177429199,-80.9987564086914,5919
28675,36.5031623840332,-81.1350326538086,6621
28676,36.331859588623,-80.855339050293,3483
28677,35.7380981445312,-80.9260864257812,32940
28678,35.821720123291,-81.0608444213867,5226
28679,36.2612113952637,-81.8283767700195,2064
28681,35.922679901123,-81.2230606079102,25910
28682,35.5882530212402,-80.9651565551758,1129
28683,36.390438079834,-80.9110107421875,1697
28684,36.3344497680664,-81.6067733764648,2141
28685,36.3607902526855,-81.0598297119141,2076
28689,36.0365562438965,-80.9408950805664,1712
28690,35.7327346801758,-81.5742263793945,9295
28692,36.2675361633301,-81.8084869384766,4067
28693,36.4717712402344,-81.5590057373047,1700
28694,36.3663368225098,-81.468017578125,7744
28697,36.1340065002441,-81.1657180786133,12930
28698,36.340892791748,-81.7362823486328,2256
28701,35.7050971984863,-82.6364669799805,3635
28702,35.4056015014648,-83.6052398681641,366
28704,35.4584655761719,-82.5815811157227,18821
28705,36.0326919555664,-82.1562347412109,6715
28707,35.397388458252,-83.065803527832,94
28708,35.271411895752,-82.8627014160156,754
28709,35.7716255187988,-82.3818206787109,2225
28711,35.6052665710449,-82.2918472290039,13209
28712,35.1733093261719,-82.7708282470703,19347
28713,35.3734931945801,-83.4959869384766,8686
28714,35.8894538879395,-82.3041152954102,16753
28715,35.5119667053223,-82.7117004394531,24582
28716,35.4393310546875,-82.8479461669922,17477
28717,35.0494613647461,-83.0933685302734,1729
28718,35.1591720581055,-82.6349334716797,553
28719,35.5178871154785,-83.3341827392578,8048
28720,35.451057434082,-82.2535171508789,114
28721,35.662670135498,-82.95849609375,10063
28722,35.2084617614746,-82.0610122680664,6371
28723,35.3142051696777,-83.0261306762695,11329
28725,35.3666458129883,-83.2550811767578,43
28726,35.2809982299805,-82.4165573120117,3203
28729,35.3203964233398,-82.6006240844727,2894
28730,35.5174217224121,-82.378044128418,9133
28731,35.2880363464355,-82.3946685791016,7778
28732,35.4517478942871,-82.4457397460938,16491
28733,35.4288597106934,-83.8141708374023,21
28734,35.189079284668,-83.4122619628906,27040
28735,35.4757041931152,-82.3504257202148,256
28736,35.1756591796875,-83.0864639282227,787
28739,35.2561111450195,-82.5437088012695,19786
28740,36.0912857055664,-82.2729797363281,1364
28741,35.0559196472168,-83.2111740112305,3197
28742,35.3826446533203,-82.6506500244141,2710
28743,35.8003616333008,-82.8811416625977,2125
28745,35.5252838134766,-82.9720458984375,551
28746,35.4771957397461,-82.1617050170898,2388
28747,35.1551818847656,-82.9226608276367,2198
28748,35.6495895385742,-82.7577285766602,11334
28749,35.8406372070312,-82.0987396240234,50
28751,35.5050086975098,-83.1207046508789,2916
28752,35.7095985412598,-82.0355758666992,30600
28753,35.8640785217285,-82.7127304077148,11670
28754,35.8755340576172,-82.5156631469727,7679
28756,35.3519248962402,-82.1862716674805,4504
28757,35.6497459411621,-82.3085632324219,280
28759,35.3814468383789,-82.5885925292969,6922
28761,35.690315246582,-81.9068450927734,7816
28762,35.6267890930176,-82.2315826416016,6857
28763,35.0285949707031,-83.4666137695312,2725
28766,35.2510414123535,-82.6198348999023,1262
28768,35.3242034912109,-82.7067489624023,6813
28771,35.3470191955566,-83.8428115844727,8558
28772,35.1169662475586,-82.8272171020508,1239
28773,35.2654457092285,-82.309700012207,3378
28774,35.0934448242188,-82.9948577880859,1013
28775,35.0213317871094,-83.3218307495117,296
28777,35.9044303894043,-82.0685348510742,10638
28778,35.6288795471191,-82.4054718017578,10381
28779,35.3570022583008,-83.215934753418,16111
28781,35.2240562438965,-83.6354827880859,939
28782,35.2340240478516,-82.149040222168,6584
28783,35.2621421813965,-83.0104141235352,1593
28785,35.6532707214355,-83.1396331787109,7338
28786,35.4620056152344,-82.9890670776367,20714
28787,35.7412528991699,-82.5155792236328,19718
28789,35.4070587158203,-83.316780090332,5097
28790,35.2004814147949,-82.524772644043,3205
28791,35.3561058044434,-82.5081787109375,14171
28792,35.3830070495605,-82.3699035644531,32689
28801,35.5943489074707,-82.5579147338867,15019
28803,35.5317039489746,-82.5230178833008,28693
28804,35.6484527587891,-82.5638046264648,20507
28805,35.6337547302246,-82.4831771850586,17620
28806,35.5719718933105,-82.6147308349609,38550
28901,35.1980934143066,-83.8103561401367,5354
28902,35.02294921875,-83.9582977294922,1373
28904,35.0686302185059,-83.7335968017578,8533
28905,35.1639518737793,-83.9400787353516,3129
28906,35.1001358032227,-84.1385955810547,18475
28909,35.0016098022461,-83.9047546386719,1030
27006,35.9390029907227,-80.4402618408203,14150
27007,36.389720916748,-80.5884704589844,2162
27009,36.2309303283691,-80.0786590576172,2647
27011,36.2165069580078,-80.6985168457031,5497
27012,36.0024566650391,-80.3792877197266,25461
27013,35.7504920959473,-80.7000732421875,6057
27014,35.8100471496582,-80.5557403564453,840
27016,36.4474601745605,-80.2188186645508,1936
27017,36.3820152282715,-80.756217956543,9597
27018,36.1971054077148,-80.5182342529297,7655
27019,36.2868843078613,-80.2377243041992,4032
27020,36.1029243469238,-80.8040542602539,6421
27021,36.3193893432617,-80.3385925292969,18106
27022,36.5121650695801,-80.2156066894531,1560
27023,36.0897827148438,-80.4567108154297,11873
27024,36.5192375183105,-80.841178894043,2733
27025,36.3790512084961,-79.9693832397461,11138
27027,36.4417572021484,-79.9888763427734,4385
27028,35.9227714538574,-80.5804443359375,25839
27030,36.489803314209,-80.6291656494141,38374
27040,36.1693115234375,-80.3930435180664,10893
27041,36.4252624511719,-80.4871978759766,7554
27042,36.3528175354004,-80.0642013549805,834
27043,36.3372535705566,-80.4518280029297,6615
27045,36.2343978881836,-80.2960662841797,8536
27046,36.5022201538086,-80.0782623291016,2024
27047,36.3141326904297,-80.5691146850586,1191
27048,36.4825134277344,-79.9176788330078,8609
27050,36.2264404296875,-80.4097061157227,3893
27051,36.1959457397461,-80.1534042358398,7369
27052,36.3207550048828,-80.1504516601562,10624
27053,36.4742774963379,-80.3478469848633,3007
27054,35.7925415039062,-80.5978851318359,2567
27055,36.1138305664062,-80.6310958862305,14200
27101,36.1108512878418,-80.2004318237305,18901
27103,36.0582313537598,-80.3214950561523,33208
27104,36.0936851501465,-80.3235321044922,28485
27105,36.1633758544922,-80.2337875366211,39568
27106,36.1439094543457,-80.3231582641602,45015
27107,36.0131568908691,-80.1754913330078,46963
27109,36.1339263916016,-80.2776336669922,2539
27110,36.0892601013184,-80.2249603271484,2127
27127,36.0207061767578,-80.2798156738281,34138
27201,36.0341720581055,-79.4848327636719,63
27203,35.7284622192383,-79.7865295410156,21108
27205,35.6382598876953,-79.8508682250977,33216
27207,35.6076126098633,-79.3905181884766,3795
27208,35.5632286071777,-79.5429306030273,1676
27209,35.3431015014648,-79.7534408569336,3933
27212,36.4809684753418,-79.2798538208008,2580
27214,36.2060546875,-79.6711273193359,10294
27215,36.027099609375,-79.4917984008789,38807
27217,36.1909446716309,-79.3801879882812,36954
27229,35.2656326293945,-79.7757339477539,3929
27231,36.2077217102051,-79.1694183349609,2148
27233,35.8925132751465,-79.7049789428711,3390
27235,36.0920295715332,-80.0114440917969,4136
27239,35.600658416748,-80.0902252197266,9079
27242,35.3296585083008,-79.6489562988281,2100
27243,36.0669174194336,-79.1981506347656,4337
27244,36.2153778076172,-79.4863662719727,14173
27248,35.7832946777344,-79.7163314819336,4524
27249,36.1541404724121,-79.582389831543,12486
27252,35.5666122436523,-79.3497543334961,2003
27253,35.9661674499512,-79.3473587036133,29827
27258,36.0108032226562,-79.2911987304688,6006
27260,35.9544677734375,-79.9878845214844,24023
27262,35.9631309509277,-80.0416641235352,23934
27263,35.9115219116211,-79.9367980957031,21414
27265,36.0123062133789,-80.0309524536133,46690
27278,36.0901947021484,-79.0869293212891,24286
27281,35.187442779541,-79.625114440918,3100
27282,35.988956451416,-79.9282836914062,15906
27283,35.951473236084,-79.6354217529297,3141
27284,36.1193313598633,-80.0773391723633,51136
